| OpenMP mode | # teams | # threads | # threads per team | # particles | # calculations | average calculation time (s) | average total time (s) |
| gpu         | 233     | 1864      | 8                  | 1000000     | 100            | 1.827114e-03                 | 3.345470e-02           |
| gpu         | 234     | 1872      | 8                  | 1000000     | 100            | 1.819094e-03                 | 3.353708e-02           |
| gpu         | 235     | 1880      | 8                  | 1000000     | 100            | 1.818834e-03                 | 3.358645e-02           |
| gpu         | 236     | 1888      | 8                  | 1000000     | 100            | 1.809173e-03                 | 3.343138e-02           |
| gpu         | 237     | 1896      | 8                  | 1000000     | 100            | 1.807004e-03                 | 3.347683e-02           |
| gpu         | 238     | 1904      | 8                  | 1000000     | 100            | 1.802067e-03                 | 3.350293e-02           |
| gpu         | 239     | 1912      | 8                  | 1000000     | 100            | 1.795465e-03                 | 3.347364e-02           |
| gpu         | 240     | 1920      | 8                  | 1000000     | 100            | 1.792615e-03                 | 3.344366e-02           |
| gpu         | 241     | 1928      | 8                  | 1000000     | 100            | 1.788218e-03                 | 3.343984e-02           |
| gpu         | 242     | 1936      | 8                  | 1000000     | 100            | 1.786469e-03                 | 3.344001e-02           |
| gpu         | 243     | 1944      | 8                  | 1000000     | 100            | 1.781051e-03                 | 3.339662e-02           |
| gpu         | 244     | 1952      | 8                  | 1000000     | 100            | 1.776276e-03                 | 3.339639e-02           |
| gpu         | 245     | 1960      | 8                  | 1000000     | 100            | 1.771205e-03                 | 3.339954e-02           |
| gpu         | 246     | 1968      | 8                  | 1000000     | 100            | 1.769981e-03                 | 3.340535e-02           |
| gpu         | 247     | 1976      | 8                  | 1000000     | 100            | 1.764629e-03                 | 3.337962e-02           |
| gpu         | 248     | 1984      | 8                  | 1000000     | 100            | 1.759156e-03                 | 3.339812e-02           |
| gpu         | 249     | 1992      | 8                  | 1000000     | 100            | 1.757181e-03                 | 3.338255e-02           |
| gpu         | 250     | 2000      | 8                  | 1000000     | 100            | 1.758761e-03                 | 3.340016e-02           |
| gpu         | 251     | 2008      | 8                  | 1000000     | 100            | 1.753795e-03                 | 3.342768e-02           |
| gpu         | 252     | 2016      | 8                  | 1000000     | 100            | 1.748182e-03                 | 3.340259e-02           |
| gpu         | 253     | 2024      | 8                  | 1000000     | 100            | 1.744308e-03                 | 3.352210e-02           |
| gpu         | 254     | 2032      | 8                  | 1000000     | 100            | 1.744695e-03                 | 3.337989e-02           |
| gpu         | 255     | 2040      | 8                  | 1000000     | 100            | 1.737538e-03                 | 3.340551e-02           |
| gpu         | 256     | 2048      | 8                  | 1000000     | 100            | 1.736335e-03                 | 3.339045e-02           |
| gpu         | 257     | 2056      | 8                  | 1000000     | 100            | 1.735788e-03                 | 3.339222e-02           |
| gpu         | 258     | 2064      | 8                  | 1000000     | 100            | 1.731813e-03                 | 3.340084e-02           |
| gpu         | 259     | 2072      | 8                  | 1000000     | 100            | 1.727840e-03                 | 3.338947e-02           |
| gpu         | 260     | 2080      | 8                  | 1000000     | 100            | 1.725272e-03                 | 3.335885e-02           |
| gpu         | 261     | 2088      | 8                  | 1000000     | 100            | 1.722701e-03                 | 3.334719e-02           |
| gpu         | 262     | 2096      | 8                  | 1000000     | 100            | 1.721250e-03                 | 3.334420e-02           |
| gpu         | 263     | 2104      | 8                  | 1000000     | 100            | 1.720575e-03                 | 3.333211e-02           |
| gpu         | 264     | 2112      | 8                  | 1000000     | 100            | 1.714466e-03                 | 3.335657e-02           |
| gpu         | 265     | 2120      | 8                  | 1000000     | 100            | 1.714094e-03                 | 3.332825e-02           |
